,IC
momentum_3,-0.010439715798109742
cum_ret_3,-0.01043969944817802
bias_3,-0.0193194744714084
vol_mom_3,0.0008597075236646904
amt_mom_3,0.0008682576791657015
tradecount_mom_3,-0.00030976552151656755
momentum_5,-0.014639213316045273
cum_ret_5,-0.014639213316045273
bias_5,-0.014841397803721904
vol_mom_5,0.0015134429422881007
amt_mom_5,0.001519181191755827
tradecount_mom_5,0.003554244921608087
momentum_10,-0.027986901966994736
cum_ret_10,-0.027986885618529633
bias_10,-0.0244254243844452
vol_mom_10,0.010189464071390108
amt_mom_10,0.010161508493559596
tradecount_mom_10,0.010262980611954688
momentum_20,-0.023294306633467095
cum_ret_20,-0.023294306633377053
bias_20,-0.025756976046251333
vol_mom_20,-0.004507926516576248
amt_mom_20,-0.004531844063468415
tradecount_mom_20,-0.002232472793119931
price_vol_combo,-0.012216257479286488
vol_price_divergence,0.0015201130442843614
mom_diff,-0.01874243933607808
